url,page_type,title,title_len,meta_description,desc_len,h1
/,home,Yono Games List — 90 Apps by Category | New Yono Apps,53,"An independent directory of 90 Yono game apps sorted into 7 categories, from rummy and slots to Teen Patti, arcade and bingo. Browse the full list.",147,"Every Yono game, in one directory"
/games/,directory,All Yono Games — Full List of 90 Apps | New Yono Apps,53,Search or filter the complete list of 90 Yono apps by name and category. Every title is shown with its category and artwork. Updated as the roster changes.,155,All Yono Games
/games/rummy.html,category,Yono Rummy — 26 Apps Listed | New Yono Apps,43,"All 26 rummy titles in the Yono app directory. Card games built on the Indian rummy family, including 13-card and 21-card formats where players form valid.",155,Rummy
/games/slots-and-777.html,category,Yono Slots & 777 — 35 Apps Listed | New Yono Apps,49,All 35 slots & 777 titles in the Yono app directory. Reel-spinning and 777-style titles where the outcome turns on symbol combinations rather than player.,154,Slots & 777
/games/teen-patti-and-vip-club.html,category,Yono Teen Patti & VIP Club — 7 Apps Listed | New Yono Apps,58,"All 7 teen patti & vip club titles in the Yono app directory. Teen Patti and private club-room titles, the three-card betting format widely played across.",154,Teen Patti & VIP Club
/games/arcade-and-casual.html,category,Yono Arcade & Casual — 13 Apps Listed | New Yono Apps,53,All 13 arcade & casual titles in the Yono app directory. Mixed-game hubs and casual titles that bundle several smaller games into a single app rather than.,155,Arcade & Casual
/games/multi-game-platforms.html,category,Yono Multi-Game Platforms — 6 Apps Listed | New Yono Apps,57,All 6 multi-game platforms titles in the Yono app directory. Multi-game platform apps that carry a broad catalogue spanning several of the other.,145,Multi-Game Platforms
/games/bingo.html,category,Yono Bingo — 2 Apps Listed | New Yono Apps,42,"All 2 bingo titles in the Yono app directory. Number-draw titles where players mark off numbers on a card as they are called, aiming to complete a winning.",155,Bingo
/games/ludo-and-board.html,category,Yono Ludo & Board — 1 Apps Listed | New Yono Apps,49,All 1 ludo & board titles in the Yono app directory. Board-game titles built on Ludo and related turn-based formats played on a cross-shaped track.,147,Ludo & Board
/games/abc-rummy.html,game,ABC Rummy — App Details & Rummy Guide | New Yono Apps,53,"ABC Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",148,ABC Rummy — Rummy App Details
/games/boss-rummy.html,game,Boss Rummy — App Details & Rummy Guide | New Yono Apps,54,"Boss Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",149,Boss Rummy — Rummy App Details
/games/game-rummy.html,game,Game Rummy — App Details & Rummy Guide | New Yono Apps,54,"Game Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",149,Game Rummy — Rummy App Details
/games/gogo-rummy.html,game,GoGo Rummy — App Details & Rummy Guide | New Yono Apps,54,"GoGo Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",149,GoGo Rummy — Rummy App Details
/games/gold-rummy.html,game,Gold Rummy — App Details & Rummy Guide | New Yono Apps,54,"Gold Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",149,Gold Rummy — Rummy App Details
/games/hi-rummy.html,game,Hi Rummy — App Details & Rummy Guide | New Yono Apps,52,"Hi Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",147,Hi Rummy — Rummy App Details
/games/ind-rummy.html,game,Ind Rummy — App Details & Rummy Guide | New Yono Apps,53,"Ind Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",148,Ind Rummy — Rummy App Details
/games/inr-rummy.html,game,INR Rummy — App Details & Rummy Guide | New Yono Apps,53,"INR Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",148,INR Rummy — Rummy App Details
/games/jaiho-rummy.html,game,JaiHo Rummy — App Details & Rummy Guide | New Yono Apps,55,"JaiHo Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",150,JaiHo Rummy — Rummy App Details
/games/joy-rummy.html,game,Joy Rummy — App Details & Rummy Guide | New Yono Apps,53,"Joy Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",148,Joy Rummy — Rummy App Details
/games/love-rummy.html,game,Love Rummy — App Details & Rummy Guide | New Yono Apps,54,"Love Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",149,Love Rummy — Rummy App Details
/games/max-rummy.html,game,Max Rummy — App Details & Rummy Guide | New Yono Apps,53,"Max Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",148,Max Rummy — Rummy App Details
/games/money-rummy.html,game,Money Rummy — App Details & Rummy Guide | New Yono Apps,55,"Money Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",150,Money Rummy — Rummy App Details
/games/ok-rummy.html,game,OK Rummy — App Details & Rummy Guide | New Yono Apps,52,"OK Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",147,OK Rummy — Rummy App Details
/games/rumble-rummy.html,game,Rumble Rummy — App Details & Rummy Guide | New Yono Apps,56,"Rumble Rummy is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",151,Rumble Rummy — Rummy App Details
/games/rummy-365.html,game,Rummy 365 — App Details & Rummy Guide | New Yono Apps,53,"Rummy 365 is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",148,Rummy 365 — Rummy App Details
/games/rummy-77.html,game,Rummy 77 — App Details & Rummy Guide | New Yono Apps,52,"Rummy 77 is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",147,Rummy 77 — Rummy App Details
/games/rummy-888.html,game,Rummy 888 — App Details & Rummy Guide | New Yono Apps,53,"Rummy 888 is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",148,Rummy 888 — Rummy App Details
/games/rummy-91.html,game,Rummy 91 — App Details & Rummy Guide | New Yono Apps,52,"Rummy 91 is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",147,Rummy 91 — Rummy App Details
/games/rummy-yono.html,game,Rummy Yono — App Details & Rummy Guide | New Yono Apps,54,"Rummy Yono is a rummy app listed in the Yono directory. Check its category and platform details, and browse related rummy titles in the same section.",149,Rummy Yono — Rummy App Details
